순번,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
경부선,서울역_경부선,남영_경부선,용산_경부선,노량진_경부선,대방_경부선,신길_경부선,영등포_경부선,신도림_경부선,구로_경부선,가산디지털단지_경부선,독산_경부선,금천구청|광명방향_경부선,광명_경부선,금천구청|석수방향_경부선,석수_경부선,관악_경부선,안양_경부선,명학_경부선,금정_경부선,군포_경부선,당정_경부선,의왕_경부선,성균관대_경부선,화서_경부선,수원_경부선,세류_경부선,병점|서동탄방향_경부선,서동탄_경부선,병점|세마방향_경부선,세마_경부선,오산대_경부선,오산_경부선,진위_경부선,송탄_경부선,서정리_경부선,평택지제_경부선,평택_경부선,성환_경부선,직산_경부선,두정_경부선,천안_경부선,,,,,,,,,,,,,,,,
경강선,여주_경강선,세종대왕릉_경강선,부발_경강선,이천_경강선,신둔도예촌_경강선,곤지암_경강선,초월_경강선,경기광주_경강선,삼동_경강선,이매_경강선,판교_경강선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과천선,금정_과천선,범계_과천선,평촌_과천선,인덕원_과천선,정부과천청사_과천선,과천_과천선,대공원_과천선,경마공원_과천선,선바위_과천선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장항선,봉명_장항선,쌍용_장항선,아산_장항선,탕정_장항선,배방_장항선,온양온천_장항선,신창_장항선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경춘선,춘천_경춘선,남춘천_경춘선,김유정_경춘선,강촌_경춘선,백양리_경춘선,굴봉산_경춘선,가평_경춘선,상천_경춘선,청평_경춘선,대성리_경춘선,마석_경춘선,천마산_경춘선,평내호평_경춘선,금곡_경춘선,사릉_경춘선,퇴계원_경춘선,별내_경춘선,갈매_경춘선,신내_경춘선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경의중앙선,임진강_경의중앙선,운천_경의중앙선,문산_경의중앙선,파주_경의중앙선,월롱_경의중앙선,금촌_경의중앙선,금릉_경의중앙선,운정_경의중앙선,야당_경의중앙선,탄현_경의중앙선,일산_경의중앙선,풍산_경의중앙선,백마_경의중앙선,곡산_경의중앙선,능곡_경의중앙선,행신_경의중앙선,강매_경의중앙선,화전_경의중앙선,수색_경의중앙선,디지털미디어시티_경의중앙선,가좌|신촌방향_경의중앙선,신촌_경의중앙선,서울역_경의중앙선,가좌|홍대입구방향_경의중앙선,홍대입구_경의중앙선,서강대_경의중앙선,공덕_경의중앙선,효창공원앞_경의중앙선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙선,지평_중앙선,용문_중앙선,원덕_중앙선,양평_중앙선,오빈_중앙선,아신_중앙선,국수_중앙선,신원_중앙선,양수_중앙선,운길산_중앙선,팔당_중앙선,도심_중앙선,덕소_중앙선,양정_중앙선,도농_중앙선,구리_중앙선,양원_중앙선,망우_중앙선,상봉_중앙선,중랑_중앙선,회기_중앙선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4호선,남태령_4호선,사당_4호선,총신대입구_4호선,동작_4호선,이촌_4호선,신용산_4호선,삼각지_4호선,숙대입구_4호선,서울역_4호선,회현_4호선,명동_4호선,충무로_4호선,동대문역사문화공원_4호선,동대문_4호선,혜화_4호선,한성대입구_4호선,성신여대입구_4호선,길음_4호선,미아사거리_4호선,미아_4호선,수유_4호선,쌍문_4호선,창동_4호선,노원_4호선,상계_4호선,당고개_4호선,별내별가람_4호선,오남_4호선,진접_4호선,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3호선,오금_3호선,경찰병원_3호선,가락시장_3호선,수서_3호선,일원_3호선,대청_3호선,학여울_3호선,대치_3호선,도곡_3호선,매봉_3호선,양재_3호선,남부터미널_3호선,교대_3호선,고속터미널_3호선,잠원_3호선,신사_3호선,압구정_3호선,옥수_3호선,금호_3호선,약수_3호선,동대입구_3호선,충무로_3호선,을지로3가_3호선,종로3가_3호선,안국_3호선,경복궁_3호선,독립문_3호선,무악재_3호선,홍제_3호선,녹번_3호선,불광_3호선,연신내_3호선,구파발_3호선,지축_3호선,,,,,,,,,,,,,,,,,,,,,,,
2호선,성수|용답방향_2호선,용답_2호선,신답_2호선,용두_2호선,신설동_2호선,성수|뚝섬방향_2호선,뚝섬_2호선,한양대_2호선,왕십리_2호선,상왕십리_2호선,신당_2호선,동대문역사문화공원_2호선,을지로4가_2호선,을지로3가_2호선,을지로입구_2호선,시청_2호선,충정로_2호선,아현_2호선,이대_2호선,신촌_2호선,홍대입구_2호선,합정_2호선,당산_2호선,영등포구청_2호선,문래_2호선,신도림|도림천방향_2호선,도림천_2호선,양천구청_2호선,신정네거리_2호선,까치산_2호선,신도림|대림방향_2호선,대림_2호선,구로디지털단지_2호선,신대방_2호선,신림_2호선,봉천_2호선,서울대입구_2호선,낙성대_2호선,사당_2호선,방배_2호선,서초_2호선,교대_2호선,강남_2호선,역삼_2호선,선릉_2호선,삼성_2호선,종합운동장_2호선,잠실새내_2호선,잠실_2호선,잠실나루_2호선,강변_2호선,구의_2호선,건대입구_2호선,,,,
1호선,청량리_1호선,제기동_1호선,신설동_1호선,동묘앞_1호선,동대문_1호선,종로5가_1호선,종로3가_1호선,종각_1호선,시청_1호선,서울역_1호선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
