역사_ID,역사명,호선,위도,경도,unique_name
2728,어린이대공원,7호선,37.548014,127.074658,어린이대공원_7호선
2727,군자,7호선,37.556897,127.079338,군자_7호선
2726,중곡,7호선,37.565923,127.08432,중곡_7호선
2725,용마산,7호선,37.573647,127.086727,용마산_7호선
2724,사가정,7호선,37.580894,127.088478,사가정_7호선
2723,면목,7호선,37.588579,127.087503,면목_7호선
2722,상봉,7호선,37.595577,127.085716,상봉_7호선
2721,중화,7호선,37.602545,127.079264,중화_7호선
2720,먹골,7호선,37.610637,127.077725,먹골_7호선
2719,태릉입구,7호선,37.618294,127.075397,태릉입구_7호선
2718,공릉,7호선,37.625742,127.072896,공릉_7호선
2717,하계,7호선,37.636352,127.06799,하계_7호선
2716,중계,7호선,37.644583,127.064303,중계_7호선
2715,노원,7호선,37.654836,127.060462,노원_7호선
2714,마들,7호선,37.66494,127.057675,마들_7호선
2713,수락산,7호선,37.67785,127.055315,수락산_7호선
2712,도봉산,7호선,37.689241,127.046509,도봉산_7호선
2711,장암,7호선,37.700109,127.053196,장암_7호선
2649,신내,6호선,37.613174,127.102231,신내_6호선
2648,봉화산,6호선,37.617283,127.091401,봉화산_6호선
2647,화랑대,6호선,37.620064,127.084689,화랑대_6호선
2646,태릉입구,6호선,37.617338,127.074735,태릉입구_6호선
2645,석계,6호선,37.614872,127.065595,석계_6호선
2644,돌곶이,6호선,37.610537,127.056431,돌곶이_6호선
2643,상월곡,6호선,37.606377,127.048491,상월곡_6호선
2642,월곡,6호선,37.601948,127.041518,월곡_6호선
2641,고려대,6호선,37.590508,127.036296,고려대_6호선
2640,안암,6호선,37.586272,127.029005,안암_6호선
2639,보문,6호선,37.585274,127.019351,보문_6호선
2638,창신,6호선,37.579661,127.015241,창신_6호선
2637,동묘앞,6호선,37.572279,127.015653,동묘앞_6호선
2636,신당,6호선,37.566154,127.016146,신당_6호선
2635,청구,6호선,37.560608,127.013986,청구_6호선
2634,약수,6호선,37.554263,127.010358,약수_6호선
2633,버티고개,6호선,37.548013,127.007055,버티고개_6호선
2632,한강진,6호선,37.539631,127.001725,한강진_6호선
2631,이태원,6호선,37.534488,126.994302,이태원_6호선
2630,녹사평,6호선,37.534675,126.986695,녹사평_6호선
2629,삼각지,6호선,37.535534,126.974032,삼각지_6호선
2628,효창공원앞,6호선,37.539233,126.961384,효창공원앞_6호선
2627,공덕,6호선,37.543555,126.951678,공덕_6호선
2626,대흥,6호선,37.547771,126.942069,대흥_6호선
2625,광흥창,6호선,37.547456,126.931993,광흥창_6호선
2624,상수,6호선,37.547716,126.922852,상수_6호선
2623,합정,6호선,37.549209,126.913366,합정_6호선
2622,망원,6호선,37.556094,126.910052,망원_6호선
2621,마포구청,6호선,37.563515,126.903343,마포구청_6호선
2620,월드컵경기장,6호선,37.569532,126.899298,월드컵경기장_6호선
2619,디지털미디어시티,6호선,37.576108,126.901391,디지털미디어시티_6호선
2618,증산,6호선,37.583876,126.909645,증산_6호선
2617,새절,6호선,37.591148,126.913629,새절_6호선
2616,구산,6호선,37.611377,126.91727,구산_6호선
2615,연신내,6호선,37.618636,126.920625,연신내_6호선
2614,독바위,6호선,37.618456,126.933031,독바위_6호선
2613,불광,6호선,37.610873,126.92939,불광_6호선
2612,역촌,6호선,37.606021,126.922744,역촌_6호선
2611,응암,6호선,37.598605,126.915577,응암_6호선
2566,하남시청,5호선,37.54205,127.20612,하남시청_5호선
2565,하남검단산,5호선,37.53972,127.22345,하남검단산_5호선
2564,하남풍산,5호선,37.552034,127.203864,하남풍산_5호선
2563,미사,5호선,37.560927,127.193877,미사_5호선
2562,강일,5호선,37.55749,127.17593,강일_5호선
2561,마천,5호선,37.49499,127.152781,마천_5호선
2560,거여,5호선,37.493105,127.14415,거여_5호선
2559,개롱,5호선,37.498079,127.13482,개롱_5호선
2558,오금,5호선,37.502057,127.127938,오금_5호선
2557,방이,5호선,37.508857,127.126133,방이_5호선
2556,올림픽공원,5호선,37.516201,127.130923,올림픽공원_5호선
2555,둔촌동,5호선,37.527788,127.136248,둔촌동_5호선
2554,상일동,5호선,37.556712,127.166417,상일동_5호선
2553,고덕,5호선,37.555004,127.154151,고덕_5호선
2552,명일,5호선,37.55137,127.143999,명일_5호선
2551,굽은다리,5호선,37.545477,127.142853,굽은다리_5호선
2550,길동,5호선,37.537801,127.140004,길동_5호선
2549,강동,5호선,37.535804,127.132481,강동_5호선
2548,천호,5호선,37.53864,127.123308,천호_5호선
2547,광나루,5호선,37.545303,127.10357,광나루_5호선
2546,아차산,5호선,37.551691,127.089761,아차산_5호선
2545,군자,5호선,37.557088,127.079577,군자_5호선
2544,장한평,5호선,37.56144,127.064623,장한평_5호선
2543,답십리,5호선,37.566747,127.052704,답십리_5호선
2542,마장,5호선,37.5661,127.042973,마장_5호선
2541,왕십리,5호선,37.56184,127.037059,왕십리_5호선
2540,행당,5호선,37.557322,127.029476,행당_5호선
2539,신금호,5호선,37.554548,127.020331,신금호_5호선
2538,청구,5호선,37.560276,127.013639,청구_5호선
2537,동대문역사문화공원,5호선,37.564665,127.005353,동대문역사문화공원_5호선
2536,을지로4가,5호선,37.567352,126.998032,을지로4가_5호선
2535,종로3가,5호선,37.57254,126.990305,종로3가_5호선
2534,광화문,5호선,37.571525,126.97717,광화문_5호선
2533,서대문,5호선,37.565773,126.966641,서대문_5호선
2532,충정로,5호선,37.560236,126.9629,충정로_5호선
2531,애오개,5호선,37.553736,126.95682,애오개_5호선
2530,공덕,5호선,37.544431,126.951372,공덕_5호선
2529,마포,5호선,37.539574,126.945932,마포_5호선
2528,여의나루,5호선,37.527098,126.932901,여의나루_5호선
2527,여의도,5호선,37.521747,126.924357,여의도_5호선
2526,신길,5호선,37.517623,126.914839,신길_5호선
2525,영등포시장,5호선,37.522669,126.905139,영등포시장_5호선
2524,영등포구청,5호선,37.5242,126.89503,영등포구청_5호선
2523,양평,5호선,37.525569,126.886129,양평_5호선
2522,오목교,5호선,37.524496,126.875181,오목교_5호선
2521,목동,5호선,37.526065,126.864931,목동_5호선
2520,신정,5호선,37.524997,126.856191,신정_5호선
2519,까치산,5호선,37.531768,126.846683,까치산_5호선
2518,화곡,5호선,37.541513,126.840461,화곡_5호선
2517,우장산,5호선,37.548768,126.836318,우장산_5호선
2516,발산,5호선,37.558598,126.837668,발산_5호선
2515,마곡,5호선,37.560183,126.825448,마곡_5호선
2514,송정,5호선,37.561184,126.811973,송정_5호선
2513,김포공항,5호선,37.562384,126.801292,김포공항_5호선
2512,개화산,5호선,37.572399,126.806171,개화산_5호선
2511,방화,5호선,37.577446,126.812741,방화_5호선
1982,부천종합운동장,서해선,37.505457,126.797289,부천종합운동장_서해선
1981,원종,서해선,37.5239,126.8049,원종_서해선
1980,김포공항,서해선,37.5617,126.8041,김포공항_서해선
1958,대화,일산선,37.676087,126.747569,대화_일산선
1957,주엽,일산선,37.670072,126.761334,주엽_일산선
1956,정발산,일산선,37.659477,126.773359,정발산_일산선
1955,마두,일산선,37.652206,126.77762,마두_일산선
1954,백석,일산선,37.643114,126.78787,백석_일산선
1953,대곡,일산선,37.631626,126.811024,대곡_일산선
1952,화정,일산선,37.634592,126.83265,화정_일산선
1951,원당,일산선,37.653324,126.843041,원당_일산선
1950,삼송,일산선,37.653083,126.895558,삼송_일산선
1949,지축,일산선,37.648017,126.91397,지축_일산선
